h3_02,mean_DOY_max,std_DOY_max,mean_DOY_peak,std_DOY_peak,lng,lat
820007fffffffff,,,,,38.027954689210915,79.25177459109035
820027fffffffff,183.0,,312.5,41.71930009000631,29.600681327773565,77.19399898495597
82002ffffffffff,231.83333333333334,60.30164689198943,271.85714285714283,42.42004617466037,22.595539289311112,79.65840440362632
820067fffffffff,,,,,-6.247567572862153,80.96111625671124
82006ffffffffff,288.0,,,,-24.512414564182333,81.91025310118522
820127fffffffff,266.06611570247935,23.128890857248244,267.1764705882353,17.48444687008832,24.357445241443248,70.69456912703434
820137fffffffff,241.91358024691357,47.24065979928313,274.6625,15.482079268658092,32.293492901094126,70.32031387880089
820157fffffffff,232.325,46.73788750259395,255.38888888888889,45.27646993923809,17.01511912451366,77.28185485162669
82015ffffffffff,214.58823529411765,34.40940791326082,229.75,41.35940038250071,7.424665218416564,79.32196770403874
820187fffffffff,,,,,52.918746208520346,72.52218335760773
82018ffffffffff,,,,,52.43990928465093,75.29446624834699
820197fffffffff,,,,,60.465639137863825,70.89829545164343
82019ffffffffff,,,,,61.39753444676153,73.6449853817932
8201b7fffffffff,,,,,53.10959500701393,69.82186878611414
820207fffffffff,,,,,-107.38668872253497,79.22046392765274
82020ffffffffff,,,,,-98.69605789146034,77.0719535852298
820217fffffffff,,,,,-121.0990490044932,78.11520193082025
82021ffffffffff,,,,,-111.08267367478946,76.42395015828444
820247fffffffff,,,,,-81.169991936193,74.38425681766743
82024ffffffffff,196.65346534653466,38.39047685131414,231.66666666666666,20.647840887931437,-78.05969857773223,71.54830938730184
820257fffffffff,,,,,-92.39635256070666,74.65179632237479
82025ffffffffff,,,,,-87.70175197974743,72.02981930018896
820277fffffffff,,,,,-85.4658204093328,77.08967274317632
82028ffffffffff,341.38793103448273,45.256519405778846,216.42857142857142,18.96199205930492,-122.39474064633076,72.36138474140532
82029ffffffffff,348.9672131147541,40.026227740118415,219.66666666666666,19.649306300611176,-129.8515947065772,70.83659995406829
8202affffffffff,352.425,21.590462638004702,218.71428571428572,14.534032311719114,-121.81705302382865,75.24931087925215
8202c7fffffffff,232.625,61.28373706434219,237.75,44.289765559701635,-106.8479280580293,71.54215561857924
8202cffffffffff,193.68421052631578,21.908625928596713,254.94444444444446,43.645837367346445,-101.31055916947113,69.26725377307399
8202d7fffffffff,340.13793103448273,37.42756666578094,244.28571428571428,23.991069767132696,-115.38467434538705,70.65533944023451
8202dffffffffff,242.8125,46.59048601481609,228.80769230769232,28.027157159825155,-109.3770186289365,68.66439976022596
8202e7fffffffff,,,,,-103.45221206918713,74.35898139941739
8202effffffffff,,,,,-97.47945981225783,72.0209582216219
8202f7fffffffff,352.44,11.565321727762989,,,-113.5931926515356,73.56192754038351
82048ffffffffff,,,,,149.27121399307745,66.81587330058628
820497fffffffff,,,,,138.31087149039766,64.06395020026714
82049ffffffffff,,,,,145.3378314048301,64.23206401198084
820607fffffffff,344.5472440944882,11.353628221757567,321.7755102040816,37.17195816872352,-31.008870106666503,69.66549469277899
82060ffffffffff,337.05,25.96326264540427,306.9433962264151,47.06162731460369,-34.19556722528124,67.01790634759566
820617fffffffff,335.5625,21.054791504145058,336.81081081081084,9.405709187749117,-35.89826884546492,72.0810831264686
82061ffffffffff,327.5404255319149,42.09829594158973,339.2903225806452,5.679197614417737,-38.8909192139255,69.34604431369523
820627fffffffff,350.04938271604937,16.579280167250854,296.55882352941177,49.32280262900756,-23.304965141669246,69.63220295697577
82062ffffffffff,366.0,0.0,,,-27.200673589565397,67.18795496423677
820637fffffffff,350.08780487804876,16.987079795001282,293.70542635658916,50.97462651603847,-27.012152024488625,72.19380007943417
820657fffffffff,298.25,79.65080037262652,297.6666666666667,55.247926054588994,-36.78107665417614,64.2832834100056
82068ffffffffff,,,,,-53.25415560628189,70.60059655965838
8206a7fffffffff,302.0,,322.0,,-42.292283384734326,74.36702721493397
8206affffffffff,223.5,46.46862740961189,282.5,33.65369858680363,-44.78118427602579,71.55062396803811
8206c7fffffffff,242.3972602739726,26.711897924892835,254.46913580246914,15.465039020148144,-48.1256026015061,65.70351202371445
8206cffffffffff,254.1762114537445,9.696945861184101,255.7719298245614,9.629740174004812,-49.299390814075515,62.71545710339801
8206d7fffffffff,239.7017543859649,53.039730698613596,255.5,18.719172188091207,-54.04895961086875,67.59908414424626
8206dffffffffff,249.85,19.330525879272678,255.0857142857143,14.242379651984443,-54.670971180380015,64.56024975185825
8206e7fffffffff,314.030303030303,55.43391768877674,329.8530805687204,29.2950869842929,-41.23996085457813,66.52589354407884
8206effffffffff,291.4280303030303,42.94477099486455,270.5822784810127,36.76595961364194,-43.12700437328599,63.6465346293665
8206f7fffffffff,239.46511627906978,73.49633006834921,252.53846153846155,23.98824498448975,-46.65998656576327,68.65540441085689
820707fffffffff,183.0,0.0,276.0,0.0,-10.762282827293989,71.32892288551375
82071ffffffffff,342.6666666666667,26.086394921491163,303.5,28.991378028648448,-18.531072773487434,71.92331408016146
820747fffffffff,335.7296137339056,19.189387969031674,326.5407407407407,20.129714785800026,-18.206668513468127,64.51280861417335
820757fffffffff,332.24528301886795,60.73204250589297,272.38461538461536,44.28231110638961,-20.45523579016889,67.06142415833592
82075ffffffffff,333.968253968254,57.83540835686585,304.8888888888889,43.17527736058448,-24.17571335508551,64.69508261452164
820767fffffffff,345.5882352941176,11.72635292583233,336.2,5.974947698515862,-12.607850238465515,64.11555395666396
820777fffffffff,296.35593220338984,63.5101845516798,318.8076923076923,23.4179746874391,-14.119138168064163,66.67651299242998
820787fffffffff,344.37820512820514,13.130286559886946,329.84615384615387,30.828890878857656,-26.692002881941335,77.16158793213498
82078ffffffffff,351.98125,10.43245533006667,341.63157894736844,12.70468900866989,-31.9808924848349,74.6999553973599
820797fffffffff,352.30434782608694,11.403487435504088,336.0,,-33.84526876489952,79.64922627565815
